,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Vaini,20,TO,1624722022,73,-21.2,-175.2,71.76,12.66
1,Mongo,10,TD,1624722023,18,12.1844,18.693,102.34,3.13
2,Kloulklubed,100,PW,1624721774,73,7.0419,134.2556,75.7,7.2
3,Nanortalik,72,GL,1624722024,88,60.1432,-45.2371,47.64,4.54
4,Pontianak,20,ID,1624722024,83,-0.0333,109.3333,80.58,0.0
5,Barrow,90,US,1624722024,93,71.2906,-156.7887,35.62,13.8
6,Ushuaia,0,AR,1624722025,75,-54.8,-68.3,38.86,5.75
7,Makkah al Mukarramah,81,SA,1624722025,25,21.4267,39.8261,96.66,9.84
8,Khotyn,64,UA,1624722026,73,48.4833,26.5,78.21,9.4
9,Mitsamiouli,10,KM,1624722026,67,-11.3847,43.2844,76.6,4.45
10,Nhulunbuy,90,AU,1624722027,78,-12.2333,136.7667,75.81,17.27
11,Tshikapa,6,CD,1624722027,24,-6.4167,20.8,89.28,0.78
12,Chui,73,UY,1624722027,83,-33.6971,-53.4616,60.3,10.31
13,Hobart,75,AU,1624721816,91,-42.8794,147.3294,50.25,9.22
14,Izhma,35,RU,1624722028,41,65.0083,53.9113,70.07,1.48
15,Burē,62,ET,1624722028,83,10.7,37.0667,61.52,5.44
16,Sweetwater,90,US,1624722029,78,25.7634,-80.3731,88.02,3.0
17,Sur,0,OM,1624722029,51,22.5667,59.5289,90.48,13.38
18,Khovu-Aksy,82,RU,1624722030,67,51.1333,93.6,50.34,1.97
19,Östersund,77,SE,1624722030,48,63.1792,14.6357,68.61,8.05
20,Ulladulla,0,AU,1624722030,72,-35.35,150.4667,53.1,7.52
21,Puerto Ayora,97,EC,1624722031,91,-0.7393,-90.3518,75.16,5.01
22,Bredasdorp,33,ZA,1624722031,63,-34.5322,20.0403,58.32,16.11
23,Kalmunai,97,LK,1624722032,69,7.4167,81.8167,83.97,6.2
24,Samarkand,0,UZ,1624721815,21,39.6542,66.9597,80.02,13.8
25,Jaisinghnagar,100,IN,1624722032,80,23.7,81.3833,80.42,3.98
26,Yellowknife,20,CA,1624721874,68,62.456,-114.3525,70.32,13.8
27,Bo`ka,0,UZ,1624722033,23,40.8108,69.1986,88.72,5.23
28,Guerrero Negro,70,MX,1624722033,71,27.9769,-114.0611,68.88,12.48
29,Cotonou,40,BJ,1624722034,88,6.3654,2.4183,75.18,5.75
30,Tuatapere,100,NZ,1624722034,93,-46.1333,167.6833,43.83,3.42
31,Imeni Poliny Osipenko,100,RU,1624722035,98,52.4201,136.4853,51.94,4.92
32,Nikolskoye,38,RU,1624722035,63,59.7035,30.7861,78.4,7.87
33,Mataura,100,NZ,1624722036,97,-46.1927,168.8643,43.48,3.74
34,Guadalupe y Calvo,49,MX,1624722036,44,26.1,-106.9667,74.01,2.19
35,Wenling,100,CN,1624722036,96,28.3669,121.36,78.91,4.74
36,Rikitea,1,PF,1624722037,76,-23.1203,-134.9692,73.76,7.4
37,Yar-Sale,59,RU,1624722037,48,66.8333,70.8333,50.65,7.56
38,Kotel'nich,26,RU,1624722037,62,58.3089,48.348,78.33,4.09
39,Oistins,40,BB,1624721764,54,13.0667,-59.5333,86.09,24.16
40,Lüderitz,0,NA,1624722038,64,-26.6481,15.1594,60.28,13.4
41,Provideniya,100,RU,1624722038,88,64.3833,-173.3,43.32,11.74
42,Isangel,22,VU,1624722039,71,-19.55,169.2667,73.6,13.31
43,Sungai Penuh,52,ID,1624722039,97,-2.0833,101.3833,63.3,1.1
44,Cherskiy,100,RU,1624722040,44,68.75,161.3,62.37,6.26
45,Ca Mau,24,VN,1624722040,81,9.1769,105.15,80.08,4.07
46,Busselton,0,AU,1624722040,64,-33.65,115.3333,54.05,20.56
47,Severodvinsk,100,RU,1624722041,81,64.5635,39.8302,64.51,7.45
48,Gemeente Wageningen,75,NL,1624722041,55,51.9667,5.6667,78.85,3.0
49,Albany,100,US,1624722042,70,42.6001,-73.9662,80.8,9.95
50,Nantucket,90,US,1624722042,92,41.2835,-70.0995,77.97,11.5
51,Port Lincoln,91,AU,1624722042,84,-34.7333,135.8667,55.92,9.62
52,Meulaboh,97,ID,1624722043,88,4.1363,96.1285,76.24,2.59
53,Cabo San Lucas,20,MX,1624722043,56,22.8909,-109.9124,91.51,4.0
54,Ketchikan,40,US,1624722043,88,55.3422,-131.6461,63.07,14.97
55,Qaqortoq,99,GL,1624721838,89,60.7167,-46.0333,57.7,4.72
56,Qaanaaq,34,GL,1624722044,71,77.484,-69.3632,40.35,3.83
57,Sitka,90,US,1624722044,94,57.0531,-135.33,55.29,5.75
58,Itarema,30,BR,1624722045,63,-2.9248,-39.9167,83.62,9.37
59,Saskylakh,74,RU,1624722045,58,71.9167,114.0833,46.09,7.09
60,Avarua,75,CK,1624722046,78,-21.2078,-159.775,73.45,16.11
61,Khovd,82,MN,1624722046,25,48.0056,91.6419,63.57,3.24
62,Jamestown,20,US,1624722046,50,42.097,-79.2353,79.52,5.99
